Restaurant,Rating,Famous_for,Location,Cost,Distance
The White House,4.4,"North Indian, Kebab, Mughlai, Thai, Italian, Continental, Desserts, Beverages","Aundh, Pune","₹1,500 for two",2.2 km
KarolBaug- Dawat-E-Mehfil,4.4,"North Indian, Seafood, Chinese, Mughlai, Kebab","Aundh, Pune","₹1,100 for two",2.5 km
Thirsty Tiger,3.9,"Continental, Sandwich, Pizza, Bar Food, Oriental, Italian, Modern Australian","Pimpri, Pune","₹1,200 for two",4.8 km
High Ground Pure Veg,4.3,"North Indian, Chinese, Oriental, Italian, Biryani, Salad, Desserts, Beverages","Wakad, Pune","₹1,200 for two",4.2 km
Hotel Kanji Family Restaurant And Bar,3.6,"North Indian, Chinese, Fast Food","Mahalunge, Pune","₹1,000 for two",3.3 km
Sattva,New,"South Indian, North Indian, Kebab, Pizza, Fast Food, Chinese, Desserts, Beverages","Baner, Pune",₹500 for two,884 m
Bawarchi,New,"North Indian, Biryani","Aundh, Pune","₹1,000 for two",2.9 km
Bharat Bhavan,4.3,"North Indian, Mughlai, Awadhi, Goan, Lucknowi, Kashmiri, Beverages, Desserts","Balewadi High Street — Phase 2, Pune","₹1,900 for two",1.4 km
Si Nonna’s - The Original Sourdough Pizza,4.5,"Cafe, Italian, Pizza, Desserts","Phoenix Mall of the Millennium, Pune","₹1,300 for two",4.9 km
Darshan,4.5,"Continental, North Indian, Chinese, Mexican, Fast Food, Desserts, Juices, Beverages","Baner, Pune",₹950 for two,1.6 km
THE PLACE BREW - N - BITES,4.2,"Cafe, Coffee, Lebanese, Continental, Italian, Fast Food, Desserts, Beverages","Balewadi, Pune","₹1,300 for two",1.6 km
Taste Hackers,3.6,"Chinese, Korean, Asian, Japanese, Italian","Aundh, Pune",₹400 for two,2.4 km
Iya's Korean Kitchen,4.1,"Korean, Chinese, Japanese, Asian, Desserts, Beverages","Pashan, Pune","₹1,200 for two",2.2 km
Naan Factory,4.2,"North Indian, Chinese, Biryani","Baner, Pune",₹450 for two,696 m
German Bakery,4.3,"Desserts, Continental, Cafe, Pasta, Pizza, Salad, Sandwich, Coffee","Hinjawadi, Pune",₹600 for two,4.8 km
The Ruby Hilltop - Sunny's World,4.4,"Bar Food, Chinese, North Indian, Asian, Italian, Mughlai, Beverages, Desserts","Sus, Pune","₹1,600 for two",4.3 km
